	Language	Subdomain	Word	Source	Concept	Abreviation	Representation	Complete_representation	Complexity_score
295	Afrikaans	grandchildren	kleindogter	Wiktionary	granddaughter	"Gr;Da"	granddaughter(x, y) ↔ ∃z daughter(x, z) ∧ CHILD(z, y)	granddaughter(x, y) ↔ ∃z daughter(x, z) ∧ CHILD(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
494	Afrikaans	grandparents	oupa	Wiktionary	grandfather	"Gr;Fa"	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y)	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y) {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	2
495	Afrikaans	grandparents	ouma	Wiktionary	grandmother	"Gr;Mo"	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y)	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y) {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	2
882	Afrikaans	nephews and nieces	neef	Wiktionary	nephew	"Sb;So"	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y)	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
883	Afrikaans	nephews and nieces	niggie	https://omniglot.com/language/kinship/afrikaans.htm	niece	"Sb;Da"	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y)	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
1094	Afrikaans	uncles and aunts	tante	Wiktionary	aunt	"Pa;Ss"	aunt(x, y) ↔ ∃z sister(x, z) ∧ PARENT(z, y)	aunt(x, y) ↔ ∃z sister(x, z) ∧ PARENT(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)}	2
1095	Afrikaans	uncles and aunts	oom	https://omniglot.com/language/kinship/afrikaans.htm	uncle	"Pa;Br"	uncle(x, y) ↔ ∃z brother(x, z) ∧ PARENT(z, y)	uncle(x, y) ↔ ∃z brother(x, z) ∧ PARENT(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1410	Afrikaans	siblings	broer	Wiktionary	brother	Br	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
1411	Afrikaans	siblings	suster	Wiktionary	sister	Ss	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
2	Ainu	cousins	usata irwak	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	cousin	"Pa;Sb;Ch"	"Pa;Sb;Ch"	"Pa;Sb;Ch"	-
296	Ainu	grandchildren	mitpo	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	grandchild	"Gr;Ch"	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	1
496	Ainu	grandparents	フチ	Wiktionary	grandmother	"Gr;Mo"	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y)	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y) {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	2
497	Ainu	grandparents	ekashi	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	grandfather	"Gr;Fa"	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y)	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y) {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	2
884	Ainu	nephews and nieces	karku	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	nephew	"Sb;So"	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y)	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
885	Ainu	nephews and nieces	matkarku	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	niece	"Sb;Da"	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y)	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
1096	Ainu	uncles and aunts	achapo	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	uncle	"Pa;Br"	uncle(x, y) ↔ ∃z brother(x, z) ∧ PARENT(z, y)	uncle(x, y) ↔ ∃z brother(x, z) ∧ PARENT(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1097	Ainu	uncles and aunts	unarpe	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	aunt	"Pa;Ss"	aunt(x, y) ↔ ∃z sister(x, z) ∧ PARENT(z, y)	aunt(x, y) ↔ ∃z sister(x, z) ∧ PARENT(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)}	2
1412	Ainu	siblings	irwak	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	sibling	Sb	sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)	sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)	1
1413	Ainu	siblings	irpe	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	sibling	Sb	sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)	sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)	1
1414	Ainu	siblings	ユポ	Wiktionary	elder brother	"El;Br"	elderbrother(x, y) ↔ brother(x, y) ∧ OLDER(x, y)	elderbrother(x, y) ↔ brother(x, y) ∧ OLDER(x, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1415	Ainu	siblings	サポ	Wiktionary	elder sister	"El;Ss"	eldersister(x, y) ↔ sister(x, y) ∧ OLDER(x, y)	eldersister(x, y) ↔ sister(x, y) ∧ OLDER(x, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)}	2
1416	Ainu	siblings	aki	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	younger brother	"Yn;Br"	youngerbrother(x, y) ↔ brother(x, y) ∧ YOUNGER(x, y)	youngerbrother(x, y) ↔ brother(x, y) ∧ YOUNGER(x, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
1417	Ainu	siblings	matapa	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	younger sister (male speaking)	"x;Yn;Ss"	"x;Yn;Ss"	"x;Yn;Ss"	-
1418	Ainu	siblings	matirpe	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	younger sister (male speaking)	"x;Yn;Ss"	"x;Yn;Ss"	"x;Yn;Ss"	-
1419	Ainu	siblings	turesh	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	younger sister (male speaking)	"x;Yn;Ss"	"x;Yn;Ss"	"x;Yn;Ss"	-
1420	Ainu	siblings	mataki	"Sugiura, Kenichi, and Harumi Befu. ""Kinship organization of the Saru Ainu."" Ethnology 1, no. 3 (1962): 287-298."	younger sister (female speaking)	"o;Yn;Ss"	"o;Yn;Ss"	"o;Yn;Ss"	-
1421	Akkadian	siblings	𒋀	Wiktionary	brother	Br	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
1422	Akkadian	siblings	𒊩𒌆	Wiktionary	sister	Ss	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
3	Albanian	cousins	kushëri	https://en.wikibooks.org/wiki/Albanian/Family	male cousin	"Pa;Sb;So"	"Pa;Sb;So"	"Pa;Sb;So"	-
4	Albanian	cousins	kushërirë	https://en.wikibooks.org/wiki/Albanian/Family	female cousin	"Pa;Sb;Da"	"Pa;Sb;Da"	"Pa;Sb;Da"	-
297	Albanian	grandchildren	nip	Wiktionary	grandson	"Gr;So"	grandson(x, y) ↔ ∃z son(x, z) ∧ CHILD(z, y)	grandson(x, y) ↔ ∃z son(x, z) ∧ CHILD(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
298	Albanian	grandchildren	mbesë	Wiktionary	granddaughter	"Gr;Da"	granddaughter(x, y) ↔ ∃z daughter(x, z) ∧ CHILD(z, y)	granddaughter(x, y) ↔ ∃z daughter(x, z) ∧ CHILD(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
498	Albanian	grandparents	gjysh	Wiktionary	grandfather	"Gr;Fa"	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y)	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y) {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	2
499	Albanian	grandparents	babagjysh	Wiktionary	grandfather	"Gr;Fa"	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y)	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y) {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	2
500	Albanian	grandparents	gjyshe	Wiktionary	grandmother	"Gr;Mo"	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y)	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y) {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	2
501	Albanian	grandparents	nënë	Wiktionary	grandmother	"Gr;Mo"	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y)	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y) {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	2
886	Albanian	nephews and nieces	nip	Wiktionary	nephew	"Sb;So"	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y)	nephew(x, y) ↔ ∃z son(x, z) ∧ sibling(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
887	Albanian	nephews and nieces	mbesë	Wiktionary	niece	"Sb;Da"	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y)	niece(x, y) ↔ ∃z daughter(x, z) ∧ sibling(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)} {sibling(x, y) ↔ ∃z CHILD(x, z) ∧ PARENT(z, y)}	3
1098	Albanian	uncles and aunts	xhaxha	Wiktionary	paternal uncle	"Fa;Br"	paternaluncle(x, y) ↔ ∃z brother(x, z) ∧ father(z, y)	paternaluncle(x, y) ↔ ∃z brother(x, z) ∧ father(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)} {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	3
1099	Albanian	uncles and aunts	dajë	Wiktionary	maternal uncle	"Mo;Br"	maternaluncle(x, y) ↔ ∃z brother(x, z) ∧ mother(z, y)	maternaluncle(x, y) ↔ ∃z brother(x, z) ∧ mother(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)} {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	3
1100	Albanian	uncles and aunts	hallë	Wiktionary	paternal aunt	"Fa;Ss"	paternalaunt(x, y) ↔ ∃z sister(x, z) ∧ father(z, y)	paternalaunt(x, y) ↔ ∃z sister(x, z) ∧ father(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)} {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	3
1101	Albanian	uncles and aunts	teze	Wiktionary	maternal aunt	"Mo;Ss"	maternalaunt(x, y) ↔ ∃z sister(x, z) ∧ mother(z, y)	maternalaunt(x, y) ↔ ∃z sister(x, z) ∧ mother(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)} {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	3
1423	Albanian	siblings	vëlla	Wiktionary	brother	Br	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)	brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y) {son(x, y) ↔ CHILD(x, y) ∧ MALE(x)}	2
1424	Albanian	siblings	motër	Wiktionary	sister	Ss	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)	sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y) {daughter(x, y) ↔ CHILD(x, y) ∧ FEMALE(x)}	2
5	Aleut	cousins	agiitudaxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	son of father's brother (male speaking)	"x;Fa;Br;So"	"x;Fa;Br;So"	"x;Fa;Br;So"	-
6	Aleut	cousins	agiitudaxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	son of mother's sister (male speaking)	"x;Mo;Ss;So"	"x;Mo;Ss;So"	"x;Mo;Ss;So"	-
7	Aleut	cousins	agiitudaxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	daughter of father's brother (female speaking)	"o;Fa;Br;Da"	"o;Fa;Br;Da"	"o;Fa;Br;Da"	-
8	Aleut	cousins	agiitudaxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	daughter of mother's sister (female speaking)	"o;Mo;Ss;Da"	"o;Mo;Ss;Da"	"o;Mo;Ss;Da"	-
9	Aleut	cousins	uhngixtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	daughter of father's brother (male speaking)	"x;Fa;Br;Da"	"x;Fa;Br;Da"	"x;Fa;Br;Da"	-
10	Aleut	cousins	uhngixtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	daughter of mother's sister (male speaking)	"x;Mo;Ss;Da"	"x;Mo;Ss;Da"	"x;Mo;Ss;Da"	-
11	Aleut	cousins	uyuxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	son of father's brother (female speaking)	"o;Fa;Br;So"	"o;Fa;Br;So"	"o;Fa;Br;So"	-
12	Aleut	cousins	uyuxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	son of mother's sister (female speaking)	"o;Mo;Ss;So"	"o;Mo;Ss;So"	"o;Mo;Ss;So"	-
13	Aleut	cousins	asagax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	child of mother's brother	"Mo;Br;Ch"	"Mo;Br;Ch"	"Mo;Br;Ch"	-
14	Aleut	cousins	asagax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	child of father's sister	"Fa;Ss;Ch"	"Fa;Ss;Ch"	"Fa;Ss;Ch"	-
299	Aleut	grandchildren	ilgux	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	grandchild	"Gr;Ch"	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	1
502	Aleut	grandparents	latux	Wiktionary	grandfather	"Gr;Fa"	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y)	grandfather(x, y) ↔ ∃z father(x, z) ∧ PARENT(z, y) {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	2
503	Aleut	grandparents	kukax	Wiktionary	grandmother	"Gr;Mo"	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y)	grandmother(x, y) ↔ ∃z mother(x, z) ∧ PARENT(z, y) {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	2
888	Aleut	nephews and nieces	laxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	brother's son (male speaking)	"x;Br;So"	"x;Br;So"	"x;Br;So"	-
889	Aleut	nephews and nieces	laxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	sister's son (female speaking)	"o;Ss;So"	"o;Ss;So"	"o;Ss;So"	-
890	Aleut	nephews and nieces	asxinuxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	brother's daughter (male speaking)	"x;Br;Da"	"x;Br;Da"	"x;Br;Da"	-
891	Aleut	nephews and nieces	asxinuxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	sister's daughter (female speaking)	"o;Ss;Da"	"o;Ss;Da"	"o;Ss;Da"	-
892	Aleut	nephews and nieces	umnix	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	sister's child (male speaking)	"x;Ss;Ch"	"x;Ss;Ch"	"x;Ss;Ch"	-
893	Aleut	nephews and nieces	nix	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	brother's child (female speaking)	"o;Br;Ch"	"o;Br;Ch"	"o;Br;Ch"	-
1102	Aleut	uncles and aunts	adaxt	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	paternal uncle	"Fa;Br"	paternaluncle(x, y) ↔ ∃z brother(x, z) ∧ father(z, y)	paternaluncle(x, y) ↔ ∃z brother(x, z) ∧ father(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)} {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	3
1103	Aleut	uncles and aunts	amix	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	maternal uncle	"Mo;Br"	maternaluncle(x, y) ↔ ∃z brother(x, z) ∧ mother(z, y)	maternaluncle(x, y) ↔ ∃z brother(x, z) ∧ mother(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)} {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	3
1104	Aleut	uncles and aunts	nix	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	paternal aunt	"Fa;Ss"	paternalaunt(x, y) ↔ ∃z sister(x, z) ∧ father(z, y)	paternalaunt(x, y) ↔ ∃z sister(x, z) ∧ father(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)} {father(x, y) ↔ PARENT(x, y) ∧ MALE(x)}	3
1105	Aleut	uncles and aunts	anaxtanax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	maternal aunt	"Mo;Ss"	maternalaunt(x, y) ↔ ∃z sister(x, z) ∧ mother(z, y)	maternalaunt(x, y) ↔ ∃z sister(x, z) ∧ mother(z, y) {sister(x, y) ↔ ∃z daughter(x, z) ∧ PARENT(z, y)} {mother(x, y) ↔ PARENT(x, y) ∧ FEMALE(x)}	3
1425	Aleut	siblings	agiitudax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	brother (male speaking)	"x;Br"	C(x, y) ↔ ∃z A(x, z) ∧ B(z, y)	"x;Br"	-
1426	Aleut	siblings	huyux	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	brother (female speaking)	"o;Br"	C(x, y) ↔ ∃z A(x, z) ∧ B(z, y)	"o;Br"	-
1427	Aleut	siblings	uhngix	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	sister (male speaking)	"x;Ss"	C(x, y) ↔ ∃z A(x, z) ∧ B(z, y)	"x;Ss"	-
1428	Aleut	siblings	agiitudax	"Petrivelli, Patricia J. ""Unangam Aleut social system."" Arctic Anthropology 41, no. 2 (2004): 126-139."	sister (female speaking)	"o;Ss"	C(x, y) ↔ ∃z A(x, z) ∧ B(z, y)	"o;Ss"	-
15	Amharic	cousins	yä-aggot lej	"Gelaye, Getie. ""Semantic Analysis of Amharic Kinship Terms in Gojjam: An Anthropological Approach."" Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente 53, no. 1 (1998): 71-92."	child of parent's brother	"Pa;Br;Ch"	"Pa;Br;Ch"	"Pa;Br;Ch"	-
16	Amharic	cousins	yä-akest lej	"Gelaye, Getie. ""Semantic Analysis of Amharic Kinship Terms in Gojjam: An Anthropological Approach."" Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente 53, no. 1 (1998): 71-92."	child of parent's sister	"Pa;Ss;Ch"	"Pa;Ss;Ch"	"Pa;Ss;Ch"	-
300	Amharic	grandchildren	yä-lej lej	"Gelaye, Getie. ""Semantic Analysis of Amharic Kinship Terms in Gojjam: An Anthropological Approach."" Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente 53, no. 1 (1998): 71-92."	grandchild	"Gr;Ch"	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	grandchild(x, y) ↔ ∃z CHILD(x, z) ∧ CHILD(z, y)	1
504	Amharic	grandparents	አያት	"Gelaye, Getie. ""Semantic Analysis of Amharic Kinship Terms in Gojjam: An Anthropological Approach."" Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente 53, no. 1 (1998): 71-92."	grandparent	"Gr;Pr"	grandparent(x, y) ↔ ∃z PARENT(x, z) ∧ PARENT(z, y)	grandparent(x, y) ↔ ∃z PARENT(x, z) ∧ PARENT(z, y)	1
894	Amharic	nephews and nieces	yä-wändem lej	"Gelaye, Getie. ""Semantic Analysis of Amharic Kinship Terms in Gojjam: An Anthropological Approach."" Africa: Rivista trimestrale di studi e documentazione dell’Istituto italiano per l’Africa e l’Oriente 53, no. 1 (1998): 71-92."	brother's child	"Br;Ch"	brother'schild(x, y) ↔ ∃z CHILD(x, z) ∧ brother(z, y)	brother'schild(x, y) ↔ ∃z CHILD(x, z) ∧ brother(z, y) {brother(x, y) ↔ ∃z son(x, z) ∧ PARENT(z, y)}	2
